STRAIN	ASM	BUSCO_CATGRY	NUM_GENES
iso-1	verkko_all	COMPLETE	3259
iso-1	verkko_all	DUPLICATED	17
iso-1	verkko_all	FRAGMENTED	9
iso-1	verkko_all	MISSING	0
iso-1	verkko_long60X	COMPLETE	3264
iso-1	verkko_long60X	DUPLICATED	11
iso-1	verkko_long60X	FRAGMENTED	9
iso-1	verkko_long60X	MISSING	1
iso-1	Hifiasm_all	COMPLETE	3267
iso-1	Hifiasm_all	DUPLICATED	9
iso-1	Hifiasm_all	FRAGMENTED	9
iso-1	Hifiasm_all	MISSING	0
A4	verkko_all	COMPLETE	3249
A4	verkko_all	DUPLICATED	26
A4	verkko_all	FRAGMENTED	9
A4	verkko_all	MISSING	1
A4	verkko_long60X	COMPLETE	3259
A4	verkko_long60X	DUPLICATED	16
A4	verkko_long60X	FRAGMENTED	9
A4	verkko_long60X	MISSING	1
A4	Hifiasm_all	COMPLETE	3261
A4	Hifiasm_all	DUPLICATED	15
A4	Hifiasm_all	FRAGMENTED	9
A4	Hifiasm_all	MISSING	0
A3	verkko_all	COMPLETE	3256
A3	verkko_all	DUPLICATED	19
A3	verkko_all	FRAGMENTED	9
A3	verkko_all	MISSING	1
A3	verkko_long60X	COMPLETE	3262
A3	verkko_long60X	DUPLICATED	13
A3	verkko_long60X	FRAGMENTED	9
A3	verkko_long60X	MISSING	1
A3	Hifiasm_all	COMPLETE	3267
A3	Hifiasm_all	DUPLICATED	9
A3	Hifiasm_all	FRAGMENTED	9
A3	Hifiasm_all	MISSING	0
