Species1,n1,s1,e1,l1,Species2,n2,s2,e2,l2,Dist
ISO1,1,30629,35521,4893,ISO1,2,35522,40585,5064,0.0022481095
ISO1,1,30629,35521,4893,ISO1,3,40586,45646,5061,0.0018397383
ISO1,2,35522,40585,5064,ISO1,3,40586,45646,5061,0.0013831259
ISO1,1,30629,35521,4893,ISO1,4,45647,50708,5062,0.0020437359
ISO1,2,35522,40585,5064,ISO1,4,45647,50708,5062,0.0015804030
ISO1,3,40586,45646,5061,ISO1,4,45647,50708,5062,0.0001975894
ISO1,1,30629,35521,4893,ISO1,6,64750,69811,5062,0.0024524831
ISO1,2,35522,40585,5064,ISO1,6,64750,69811,5062,0.0001975504
ISO1,3,40586,45646,5061,ISO1,6,64750,69811,5062,0.0015807153
ISO1,4,45647,50708,5062,ISO1,6,64750,69811,5062,0.0017779534
ISO1,1,30629,35521,4893,ISO1,7,69812,74872,5061,0.0022485691
ISO1,2,35522,40585,5064,ISO1,7,69812,74872,5061,0.0009879470
ISO1,3,40586,45646,5061,ISO1,7,69812,74872,5061,0.0003951788
ISO1,4,45647,50708,5062,ISO1,7,69812,74872,5061,0.0005927682
ISO1,6,64750,69811,5062,ISO1,7,69812,74872,5061,0.0011855365
ISO1,1,30629,35521,4893,ISO1,8,74873,79933,5061,0.0024529845
ISO1,2,35522,40585,5064,ISO1,8,74873,79933,5061,0.0011855365
ISO1,3,40586,45646,5061,ISO1,8,74873,79933,5061,0.0005927682
ISO1,4,45647,50708,5062,ISO1,8,74873,79933,5061,0.0007903576
ISO1,6,64750,69811,5062,ISO1,8,74873,79933,5061,0.0013831259
ISO1,7,69812,74872,5061,ISO1,8,74873,79933,5061,0.0001975894
ISO1,1,30629,35521,4893,ISO1,9,79934,84994,5061,0.0022485691
ISO1,2,35522,40585,5064,ISO1,9,79934,84994,5061,0.0009879470
ISO1,3,40586,45646,5061,ISO1,9,79934,84994,5061,0.0003951788
ISO1,4,45647,50708,5062,ISO1,9,79934,84994,5061,0.0005927682
ISO1,6,64750,69811,5062,ISO1,9,79934,84994,5061,0.0011855365
ISO1,7,69812,74872,5061,ISO1,9,79934,84994,5061,0.0000000000
ISO1,8,74873,79933,5061,ISO1,9,79934,84994,5061,0.0001975894
ISO1,1,30629,35521,4893,ISO1,10,84995,90055,5061,0.0024529845
ISO1,2,35522,40585,5064,ISO1,10,84995,90055,5061,0.0011855365
ISO1,3,40586,45646,5061,ISO1,10,84995,90055,5061,0.0005927682
ISO1,4,45647,50708,5062,ISO1,10,84995,90055,5061,0.0007903576
ISO1,6,64750,69811,5062,ISO1,10,84995,90055,5061,0.0013831259
ISO1,7,69812,74872,5061,ISO1,10,84995,90055,5061,0.0001975894
ISO1,8,74873,79933,5061,ISO1,10,84995,90055,5061,0.0000000000
ISO1,9,79934,84994,5061,ISO1,10,84995,90055,5061,0.0001975894
ISO1,1,30629,35521,4893,ISO1,11,90056,95116,5061,0.0024529845
ISO1,2,35522,40585,5064,ISO1,11,90056,95116,5061,0.0011855365
ISO1,3,40586,45646,5061,ISO1,11,90056,95116,5061,0.0005927682
ISO1,4,45647,50708,5062,ISO1,11,90056,95116,5061,0.0007903576
ISO1,6,64750,69811,5062,ISO1,11,90056,95116,5061,0.0013831259
